make_again,name,rating,slug,summary,tag
100%,"Apples, Potatoes, and Bacon",4,/recipes/food/views/apples-potatoes-and-bacon,"This dinner is a fry-up, of sorts. The smell of apples and smoked bacon frying on a damp day brings everyone into the kitchen, plate in hand.",recipe
0%,Cheesy Loaded Sweet Potatoes,0,/recipes/food/views/cheesy-loaded-sweet-potatoes,"For a quick 15-minute dinner, you can steam the potatoes up to five days in advance. Serve with lots of fixings for an easy variation on the taco bar concept.",recipe
95%,Corned Beef with Crispy Potatoes and Cabbage,4,/recipes/food/views/corned-beef-with-crispy-roasted-potatoes-and-cabbage,"This update of the classic corned beef dinner nixes boring, boiled sides in favor of extra-crispy roasted cabbage and potato wedges and a vibrant, seedy dressing.",recipe
67%,Sunday Stash Sweet Potatoes,3,/recipes/food/views/sunday-stash-sweet-potatoes,This simple preparation of sweet potatoes can become the base for many lunches and weeknight meals.,recipe
100%,Make-Ahead Mashed Potatoes,4,/recipes/food/views/make-ahead-mashed-potatoes,You can make and chill these mashed potatoes up to two days before the big night.,recipe
100%,Dinner Salad with Radicchio and Roasted Sweet Potatoes,4,/recipes/food/views/dinner-salad-with-radicchio-and-roasted-sweet-potatoes,"Eggs and roasted sweet potatoes make this salad a full meal, not a sidekick. Feel free to swap in whatever protein and roasted vegetables you may have on hand.",recipe
0%,Chile-and-Citrus–Rubbed Chicken with Potatoes,0,/recipes/food/views/chile-and-citrus-rubbed-chicken-with-potatoes,Letting a roast chicken sit for up to 45 minutes helps prevent the juices from running out of the meat as soon as you slice into it.,recipe
100%,Shingled Sweet Potatoes with Harissa,3.5,/recipes/food/views/shingled-sweet-potatoes-with-harissa,Harissa lends both a spiciness and an earthiness to this savory sweet potato dish. We promise you won’t miss the marshmallows.,recipe
100%,Sweet Potatoes with Spiced Lamb and Mushrooms,4,/recipes/food/views/sweet-potato-bowls-with-spiced-lamb-and-mushrooms,Halved sweet potatoes steam in the time it takes to sauté mushrooms and ground lamb with a heap of fragrant spices. Crisp shaved veg and a simple yogurt sauce round it out for your new go-to weeknight dinner.,recipe
100%,Papas con Rajas,4,/recipes/food/views/potatoes-roasted-poblano-chiles-mexican-sour-cream-papas-con-rajas-y-crema-acida,"This combination of roasted poblano chiles, cubed boiled potatoes, onions, and crema, cooked into a savory concoction makes a divine vegetarian taco filling.",recipe
87%,Buddha Bowl with Roasted Sweet Potatoes,3.5,/recipes/food/views/buddha-bowl-with-roasted-sweet-potatoes-spiced-chickpeas-and-chard,"Composed of four elements—vegetables, a grain, a protein, and a sauce—Buddha bowls like this one are simple, nutrient-dense, and very pretty to serve.",recipe
100%,Cornbread Stuffing with Chorizo and Sweet Potatoes,4,/recipes/food/views/spicy-cornbread-stuffing-with-chorizo-and-sweet-potatoes,This flavor-packed holiday side feeds a crowd of 20 and takes care of both the stuffing and the sweet potatoes.,recipe
83%,Sheet-Pan Curry Pork Chops and Sweet Potatoes,3.5,/recipes/food/views/sheet-pan-curry-pork-chops-and-sweet-potatoes,"Roast halved sweet potatoes and spiced pork chops on one pan, then top with a lemony yogurt sauce, crispy radishes, and tart pomegranate seeds.",recipe
100%,Spicy Smoked Gouda Twice-Baked Potatoes,4,/recipes/food/views/spicy-smoked-gouda-twice-baked-potatoes,These are super easy to make; your fam and friends will be impressed and unable to stop praising your genius potato skills.,recipe
0%,Dill Potatoes,0,/recipes/food/views/dill-potatoes,"Serve these easy boiled potatoes with slow cooker corned beef, or any hearty main course.",recipe
50%,Lamb Tagine with Potatoes and Peas,2.5,/recipes/food/views/moroccan-lamb-tagine-with-potatoes-and-peas-lham-bel-btata-wa-jeblana,"Tagines are typical street food in Morocco, and this is the one that is most commonly found, except that street vendors cut the potatoes into small dice and I prefer to use new potatoes, which I leave whole if they are very small or halve if they are medium.",recipe
0%,Crunchy Gluten-Free Chicken Tenders,0,/recipes/food/views/crunchy-gluten-free-chicken-tenders,Rice Chex cereal crushes up into a crunchy coating for these easy chicken fingers.,recipe
100%,Charred Sweet Potatoes with Toum,3,/recipes/food/views/charred-sweet-potatoes-with-toum,"This recipe is nice twice. The roasting and honey-glazing method is a great way to make sweet potatoes, and you also get an eggless garlic sauce that you’ll use again and again.",recipe
0%,Slow Cooker Corned Beef Brisket,0,/recipes/food/views/slow-cooker-corned-beef-brisket-with-cabbage-potatoes-and-dill-hugh-acheson,"Corned beef is timeless and deserves a spot at the table, not just on St. Paddy’s Day. It is a crowd-pleaser that loves the low-and-slow ethos of the slow cooker, turning it tender without fail.",recipe
0%,Slow Cooker Miso-Butter Roast Chicken and Potatoes,0,/recipes/food/views/slow-cooker-miso-butter-roast-chicken-and-potatoes,"Slow-cooking a ""roast"" chicken yields moist, juicy meat but flabby skin—the easy fix is to run the carved chicken under the broiler to crisp the skin before serving.",recipe
93%,Tandoori Chicken Sheet-Pan Supper,3.5,/recipes/food/views/tandoori-chicken-and-vegetable-sheet-pan-supper,No tandoor oven? No problem. This recipe for chicken and vegetables marinated in yogurt and spices is cooked on a single sheet pan in a regular home oven.,recipe
80%,Lentil and Chicken Soup with Sweet Potatoes,3.5,/recipes/food/views/lentil-and-chicken-soup-with-sweet-potatoes-and-escarole,"Turn store-bought rotisserie chicken (or leftover turkey, if you still have some kicking around) into a hearty soup in about half an hour. Fresh dill and lemon add a nice dose of brightness.",recipe
100%,Parsnip Skordalia,4,/recipes/food/views/parsnip-skordalia,"This riff on the Greek classic swaps out potatoes for parsnips, which gives the dip a touch of sweetness that pairs well with the feta and chiles.",recipe
100%,Maple Meatloaf Muffins,4,/recipes/food/views/maple-meatloaf-muffins,"Sweet potatoes and maple syrup add natural sweetness to these muffins—perfect for prepping for a week of breakfasts, dinners, or lunches.",recipe
100%,Black Lentil and Harissa-Roasted Veggie Bowl,4,/recipes/food/views/black-lentil-and-harissa-roasted-veggie-bowl,"We love the roasted sweet potatoes in this bowl, but any hardy vegetable would be just as delicious. Try delicata squash, cauliflower, or eggplant.",recipe
100%,New Year's Eve Meat Pie,4,/recipes/food/views/new-years-eve-meat-pie,Store-bought puff pastry and a meat-and-potatoes filling come together as your New Year’s Eve dinner centerpiece.,recipe
100%,Chicken Stew with Potatoes and Radishes,4,/recipes/food/views/chicken-stew-with-potatoes-and-radishes,This one-pot comfort-food stew takes its flavor cues from chicken paprikash. Cooking low and slow is the key to getting deep flavor and the perfect texture; make sure to simmer the stew until the potatoes are creamy and the chicken is pull-apart tender.,recipe
100%,Crispy Skin Chicken with Dill and Garlic Sauce,4,/recipes/food/views/crispy-skin-chicken-with-dill-and-garlic-sauce,"Served with garlicky boiled potatoes and topped with crunchy fried shallots and lots of fresh dill, this dish is perfect to welcome spring.",recipe
50%,Burnished Potato Nuggets,3,/recipes/food/views/burnished-potato-nuggets,Any cooking oil or rendered fat will work for making these supremely crunchy potatoes. Bonus: The fluffy insides are perfect for sopping up gravy.,recipe
100%,Steak and Crispy Smashed Potatoes for Two,3.5,/recipes/food/views/rib-eye-steak-and-crispy-smashed-potatoes-for-two,"Looking for a special dinner for two? First, pan-sear one big steak to share. Then, while the steak rests, use the fat rendered behind in the skillet to sear smashed paprika-spiced potatoes to crispy, golden perfection.",recipe
100%,Herby Garlic Confit,2.5,/recipes/food/views/herby-garlic-confit,"You can spread the cloves on grilled bread, marinate olives and feta with the garlicky oil, mash cloves into store-bought mayo, or stir into mashed potatoes.",recipe
83%,Crispy Baby Yukon Gold Potatoes,3.5,/recipes/food/views/crispy-baby-yukon-gold-potatoes,You can’t go wrong with roasted potatoes for a holiday meal. A mix of fresh thyme and nutmeg keeps this version interesting.,recipe
88%,Sausage and Greens Sheet-Pan Dinner,3.5,/recipes/food/views/sausage-and-greens-sheet-pan-dinner,"With crispy mini potatoes and hearty greens that are roasted in a sweet-tart mustard dressing, this 25-minute dinner is an easy crowd-pleaser.",recipe
0%,Salsa Rustica with Egg and Pancetta,0,/recipes/food/views/salsa-rustica-with-egg-and-pancetta,"Spoon salsa rustica over grilled bread, grilled or roasted vegetables, roasted potatoes, sautéed greens, sliced tomatoes, boiled green beans, or cauliflower.",recipe
88%,Roasted Niçoise Salad with Halibut,3.5,/recipes/food/views/roasted-nicoise-salad-with-halibut-green-beans-potatoes-artichoke-hearts,"Jarred marinated artichoke hearts get super-crispy and addictively delicious when roasted, making them the secret star of this simple sheet-pan dinner.",recipe
100%,Ultra-Creamy Mashed Potatoes,3,/recipes/food/views/ultra-creamy-mashed-potatoes,"Unpeeled potatoes absorb less moisture when boiled, and the ricer will catch the skins—great news for lazy cooks everywhere.",recipe
50%,Instant Pot Beef and Sweet Potato Chili,2.5,/recipes/food/views/instant-pot-beef-and-sweet-potato-chili,"Sweet potatoes almost melt as they cook under pressure in the Instant Pot, lending a silky texture and sweet flavor to this harissa-spiced chili.",recipe
0%,Potato Tart with Mustard Greens and Thyme,0,/recipes/food/views/potato-tart-with-mustard-greens-and-lemon-thyme,"Whole wheat phyllo dough makes a crispy crust for this lively potato tart with the flavors of mustard greens, lemon thyme, and goat cheese.",recipe
71%,Perfectly Roasted Potatoes,3,/recipes/food/views/perfectly-roasted-potatoes,"You know what goes with pretty much everything? Crispy, creamy, perfectly roasted potatoes. The secret: Steam before you roast.",recipe
100%,"Farro Salad with Roasted Sweet Potatoes, Red Onion, and Goat Cheese",4,/recipes/food/views/farro-salad-with-roasted-sweet-potatoes-red-onion-and-goat-cheese,"I love me a farro salad! The hearty grain is an amazing base for all sorts of veggie combinations and it’s super convenient to work with since you can cook it several days ahead. I tend to follow a loose formula: farro plus roasted veggies, a bright herb, a crunchy nut or seed, some creamy cheese, and a zingy dressing. Here, sweet potatoes and red onions caramelize gorgeously in the oven, while the earthy goat cheese and zippy vinaigrette balance out the sweetness. Feel free to play—roasted beets or winter squash would be lovely, as would hazelnuts, almonds, or feta.",recipe
0%,Roasted Winter Squash with Kale Pipian,2,/recipes/food/views/roasted-winter-squash-with-kale-pipian,"If you can find it, try making this green sauce with hoja santa, a robust aromatic Mexican herb—if not, any hardy green will work (we call for kale).",recipe
100%,Roasted Sweet Potatoes with Chile Yogurt and Mint,3.5,/recipes/food/views/roasted-sweet-potatoes-with-chile-yogurt-and-mint,This twice-roasted method allows for the sweet potatoes to get super-creamy on the inside while their skins get a little crispy.,recipe
100%,Grilled Clambake with Miso-Lime Butter,3.5,/recipes/food/views/grilled-clambake-with-miso-lime-butter,"Clams, potatoes, shrimp, and corn on the cob get an extra layer of flavor when grilled and brushed with gingery miso butter in this festive, large-format feast.",recipe
64%,Chicken Fricassée with Lemon Mustard Sauce,3,/recipes/food/views/chicken-fricassee-with-lemon-mustard-sauce-109106,There may be more sauce than you need to serve with the chicken. Use the leftovers on mashed potatoes or simply freeze for another time.,recipe
0%,Sweet Potato Toasts with Toppings,0,/recipes/food/views/sweet-potato-toasts-with-toppings,"Serve this easy-to-make “toast” just as you would traditional toast and top it with your favorite toppings, such as avocado, a poached or fried egg, microgreens, tahini, fresh berries, hemp seeds, a nut butter, bananas, or strawberries.",recipe
100%,Here Comes the Sun Breakfast Bowl,4,/recipes/food/views/here-comes-the-sun-breakfast-grain-bowl,"Pile roasted sweet potatoes, sautéed kale, black beans, and a sunny-side egg over grains for a healthful, filling grain bowl that'll power you through the day.",recipe
100%,Cucumbers with Ajo Blanco Sauce,4,/recipes/food/views/cucumbers-with-ajo-blanco-sauce,"Think of this as an all-purpose garlic sauce. Once you get the hang of making it, try swapping cashews or blanched hazelnuts for the almonds.",recipe
100%,Low-Fuss Crispy Roast Chicken,4,/recipes/food/views/low-fuss-crispy-roast-chicken,"Rendering fat trickles from the chicken as it roasts onto a bed of sliced potatoes and onions, resulting in a deliciously crisp and juicy low-fuss bird with a built-in side dish.",recipe
67%,Stuffed Sweet Potatoes with Curried Chickpeas,2.5,/recipes/food/views/stuffed-sweet-potatoes-with-curried-chickpeas-and-mushrooms,"Embrace the start of autumn with cozy, Indian-inspired sweet potatoes loaded with curry-spiced chickpeas, mushrooms, and spinach.",recipe
0%,No-Frills Shrimp Boil,0,/recipes/food/views/no-frills-shrimp-boil-with-corn-and-new-potatoes,Set a large colander in the sink before you add the shrimp so you can drain the boil as soon as it comes off the heat.,recipe
100%,BBQ Pork Chops with Herb-Butter Corn and Sweet Potatoes,2,/recipes/food/views/bbq-pork-chops-with-herb-butter-corn-and-sweet-potatoes,"You don't have to fire up the grill to enjoy a taste of barbecue. This pork chop dinner makes use of the broiler to get those smoky, charred flavors on the table anytime you want them.",recipe
0%,Sweet Potato Sonker with Milk Dip,0,/recipes/food/views/sweet-potato-sonker-with-milk-dip,"This North Carolinian cobbler-like dessert, with both a bottom crust and lattice top, is topped with a sweetened milk “dip” after baking for a time and then returned to the oven so that the dip forms a rich glaze.",recipe
69%,Instant Pot Caldo Verde,2,/recipes/food/views/instant-pot-caldo-verde,"The ingredients of this classic Portuguese soup (namely chorizo, kale, and potatoes) meld beautifully under pressure, so you only need water—no stock—to get a savory, rich broth.",recipe
0%,Charred Sweet Potatoes with Honey and Olive Oil,0,/recipes/food/views/charred-sweet-potatoes-with-honey-and-olive-oil,Japanese sweet potatoes are starchier than yams and worth seeking out. Steaming before grilling keeps them moist.,recipe
100%,Crushed Potatoes with Oyster Bar Butter,4,/recipes/food/views/crushed-potatoes-with-spicy-herb-butter,"Make extra seasoned butter to eat with pasta, on crusty bread, or, as the name implies, with shellfish.",recipe
100%,Pickled Mustard Seeds,4,/recipes/food/views/pickled-mustard-seeds,"Mustard seeds that have been plumped in a pickle brine can really make a dish. They provide texture and crunch, heat and sweetness.",recipe
83%,Grilled Lemon-Garlic Chicken and Potatoes,3.5,/recipes/food/views/grilled-lemon-garlic-chicken-with-leeks-and-potatoes,"Everything for this simple, Spanish-inspired dish gets tossed in the same lemon, garlic, and smoked paprika marinade, then cooked in a grill basket for an easier, faster way to grill dinner.",recipe
50%,Sweet Potato–Tahini Dip with Za'atar,2.5,/recipes/food/views/sweet-potato-tahini-dip-with-zaatar,Since the base of this dip is so simple—it's mostly sweet potatoes and tahini—homemade za'atar (a Middle Eastern spice blend) really helps the flavors stand out.,recipe
0%,"Gujarti Eggplant and Sweet Potato ""Lasagna"" with Kadi Sauce",0,/recipes/food/views/gujarti-eggplant-and-sweet-potato-lasagna-with-kadi-sauce,"This playful Indian take on veggie lasagna pairs chickpea-flour noodles with eggplant, sweet potatoes, and chile- and ginger-spiced tomato and yogurt sauces.",recipe
100%,Roasted Sweet Potato and Ginger Soup,4,/recipes/food/views/roasted-sweet-potato-and-ginger-soup,"There are some flavors that beg to be paired, and sweet potatoes and ginger are in that category. This smooth, puréed soup is rich and comforting, ideal for fall evenings.",recipe
75%,Roasted Sweet Potato and Delicata Squash with Cranberry Agrodolce,3,/recipes/food/views/roasted-sweet-potato-and-delicata-squash-with-cranberry-agrodolce,"The sweet and sour cranberry sauce for this holiday-ready side does double duty: it looks gorgeous (and tastes great) drizzled over roasted delicata squash and sweet potatoes, but it’s also an excellent turkey condiment. Don’t worry—this recipe makes a good amount so you'll have plenty to serve on the side.",recipe
100%,Cheesy Potato and Kale Gratin with Rye Croutons,3.5,/recipes/food/views/cheesy-potato-and-kale-gratin-with-rye-croutons,"There’s no need to reduce your cream or pre-cook the kale for this aromatic casserole; everything cooks together in cheesy, creamy harmony. Leaving the potatoes unpeeled bumps up nutrients and cuts the prep time, too.",recipe
